Country,Gender,Demographics_Question,Demographics_Response,Question,Value
Mozambique,F,Residence,Urban,... if she goes out without telling him,6.4
Congo,F,Education,Secondary,... for at least one specific reason,61.5
Turkey,F,Employment,Employed for kind,... if she goes out without telling him,14.9
Ethiopia,F,Marital status,Married or living together,... if she neglects the children,50.8
Niger,F,Employment,Employed for cash,... if she goes out without telling him,42.0
Kyrgyz Republic,M,Residence,Urban,... if she goes out without telling him,33.4
Peru,F,Employment,Unemployed,... if she argues with him,0.6
Tanzania,F,Education,Higher,... if she burns the food,0.3
Cote d'Ivoire,F,Education,Secondary,... if she burns the food,9.8
Sao Tome and Principe,M,Education,No education,... if she refuses to have sex with him,7.7
Sao Tome and Principe,F,Education,Primary,... if she burns the food,6.5
Turkey,F,Employment,Employed for kind,... if she burns the food,14.9
South Africa,M,Age,15-24,... if she goes out without telling him,3.2
Bangladesh,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,14.9
Cambodia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,12.2
Cote d'Ivoire,F,Employment,Employed for cash,... for at least one specific reason,48.5
Kyrgyz Republic,M,Marital status,Married or living together,... if she goes out without telling him,36.2
Zimbabwe,M,Education,Secondary,... if she refuses to have sex with him,5.5
Benin,F,Education,Primary,... for at least one specific reason,29.4
Maldives,F,Education,No education,... if she neglects the children,7.5
Nicaragua,F,Age,25-34,... for at least one specific reason,14.5
Sao Tome and Principe,F,Education,Higher,... if she burns the food,14.9
Senegal,M,Residence,Rural,... if she goes out without telling him,20.9
Ghana,M,Employment,Employed for cash,... if she burns the food,2.6
Sao Tome and Principe,M,Education,No education,... if she neglects the children,18.4
Yemen,M,Age,25-34,... if she goes out without telling him,14.9
Malawi,M,Education,No education,... if she refuses to have sex with him,5.0
Philippines,F,Employment,Unemployed,... for at least one specific reason,11.4
Nicaragua,M,Residence,Rural,... if she goes out without telling him,14.9
Burkina Faso,F,Residence,Rural,... if she refuses to have sex with him,22.5
Dominican Republic,M,Employment,Unemployed,... if she burns the food,0.9
Uganda,F,Employment,Employed for kind,... if she refuses to have sex with him,25.5
Guinea,F,Marital status,Married or living together,... if she refuses to have sex with him,53.0
Egypt,F,Marital status,Married or living together,... if she neglects the children,24.2
Yemen,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,14.9
Chad,M,Age,15-24,... if she argues with him,24.4
Namibia,F,Residence,Rural,... for at least one specific reason,37.0
Guinea,M,Age,25-34,... if she refuses to have sex with him,24.4
Morocco,M,Employment,Unemployed,... if she neglects the children,14.9
Tajikistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,14.9
Afghanistan,M,Education,Higher,... if she neglects the children,20.9
Mali,M,Employment,Employed for cash,... if she neglects the children,21.6
India,F,Age,25-34,... for at least one specific reason,44.7
Rwanda,M,Education,Primary,... if she goes out without telling him,7.1
Armenia,F,Education,Primary,... if she refuses to have sex with him,1.5
Togo,F,Residence,Rural,... if she argues with him,24.1
Yemen,M,Employment,Employed for cash,... if she burns the food,14.9
Eritrea,F,Residence,Urban,... if she refuses to have sex with him,34.3
Tanzania,F,Education,Secondary,... if she goes out without telling him,26.3
Angola,F,Age,15-24,... if she argues with him,14.9
Ukraine,F,Education,Secondary,... if she refuses to have sex with him,0.8
Myanmar,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,13.8
India,F,Age,15-24,... if she burns the food,17.5
Honduras,F,Age,25-34,... if she neglects the children,8.8
Liberia,F,Marital status,Never married,... if she neglects the children,31.3
Kenya,M,Employment,Unemployed,... if she burns the food,5.4
Myanmar,F,Age,25-34,... if she neglects the children,42.5
Ethiopia,M,Education,Secondary,... if she goes out without telling him,10.2
Tajikistan,F,Employment,Unemployed,... if she refuses to have sex with him,28.1
Morocco,F,Employment,Employed for kind,... if she refuses to have sex with him,68.7
Indonesia,F,Employment,Employed for cash,... for at least one specific reason,31.9
Philippines,F,Employment,Employed for cash,... if she neglects the children,7.1
Albania,F,Residence,Urban,... if she burns the food,0.4
Chad,M,Age,15-24,... if she refuses to have sex with him,25.9
Ghana,F,Age,25-34,... if she neglects the children,18.9
Cote d'Ivoire,M,Residence,Rural,... if she goes out without telling him,25.3
Zimbabwe,M,Education,No education,... if she neglects the children,30.5
Maldives,F,Education,Secondary,... if she neglects the children,18.1
Mozambique,M,Education,Secondary,... if she neglects the children,5.6
Gambia,F,Education,Primary,... if she burns the food,13.7
Nicaragua,F,Education,Higher,... if she goes out without telling him,0.7
Moldova,M,Education,Higher,... if she argues with him,2.4
Gabon,F,Marital status,Married or living together,... if she goes out without telling him,21.9
Angola,F,Age,35-49,... if she neglects the children,16.7
Gabon,F,Education,Higher,... if she refuses to have sex with him,2.2
Ethiopia,M,Education,Secondary,... for at least one specific reason,18.0
Burundi,F,Employment,Employed for kind,... if she burns the food,23.9
Sao Tome and Principe,F,Residence,Rural,... if she burns the food,6.3
Guinea,M,Education,No education,... if she neglects the children,50.2
Timor-Leste,F,Age,25-34,... for at least one specific reason,76.8
Moldova,F,Residence,Urban,... if she goes out without telling him,3.1
Indonesia,M,Education,No education,... if she neglects the children,13.9
Indonesia,F,Education,Higher,... if she argues with him,2.9
Zimbabwe,F,Education,No education,... if she neglects the children,33.3
Dominican Republic,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2.0
Guyana,M,Age,25-34,... if she goes out without telling him,6.2
Eswatini,F,Residence,Rural,... if she refuses to have sex with him,3.9
Moldova,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,6.4
Kyrgyz Republic,M,Age,15-24,... if she argues with him,18.7
Turkmenistan,M,Age,35-49,... if she neglects the children,14.9
Ghana,F,Employment,Unemployed,... if she burns the food,8.3
Niger,F,Education,No education,... if she burns the food,36.0
Niger,F,Employment,Unemployed,... for at least one specific reason,58.6
Moldova,F,Education,Higher,... for at least one specific reason,7.0
Mali,F,Residence,Urban,... if she refuses to have sex with him,54.6
Colombia,F,Marital status,Married or living together,... if she argues with him,1.2
Eritrea,F,Residence,Urban,... if she burns the food,22.2
Lesotho,M,Education,Higher,... if she argues with him,9.9
Haiti,F,Employment,Employed for kind,... if she goes out without telling him,8.2
Liberia,M,Age,25-34,... if she goes out without telling him,14.3
Cameroon,F,Marital status,Never married,... if she goes out without telling him,21.5
Guinea,F,Education,Primary,... if she refuses to have sex with him,45.7
Jordan,F,Age,15-24,... if she neglects the children,5.8
Honduras,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,10.6
Liberia,F,Education,No education,... for at least one specific reason,45.8
Burkina Faso,M,Marital status,Never married,... if she argues with him,20.1
Haiti,F,Employment,Employed for kind,... if she refuses to have sex with him,6.3
Togo,F,Marital status,Never married,... if she burns the food,8.4
Bolivia,M,Education,No education,... if she argues with him,14.9
Philippines,F,Employment,Employed for kind,... if she refuses to have sex with him,1.6
Rwanda,M,Residence,Urban,... if she argues with him,3.8
Moldova,F,Education,Primary,... if she goes out without telling him,18.9
Senegal,M,Age,15-24,... if she goes out without telling him,19.6
Tanzania,M,Age,15-24,... for at least one specific reason,47.8
Bolivia,M,Employment,Unemployed,... if she argues with him,14.9
Haiti,F,Education,Primary,... for at least one specific reason,22.4
Ethiopia,F,Age,35-49,... if she argues with him,45.6
Dominican Republic,F,Age,35-49,... if she argues with him,0.6
Azerbaijan,F,Marital status,Married or living together,... if she neglects the children,38.8
Pakistan,F,Residence,Urban,... if she goes out without telling him,18.1
Cameroon,F,Education,Higher,... if she argues with him,3.2
Lesotho,F,Education,Higher,... for at least one specific reason,5.4
Comoros,M,Education,Primary,... if she goes out without telling him,6.8
Guatemala,F,Marital status,Married or living together,... if she burns the food,4.2
Congo Democratic Republic,M,Employment,Employed for kind,... if she argues with him,36.1
Zimbabwe,F,Employment,Employed for kind,... if she refuses to have sex with him,17.2
Nepal,F,Education,No education,... for at least one specific reason,29.8
Rwanda,F,Residence,Urban,... if she burns the food,3.9
Haiti,M,Marital status,Never married,... if she neglects the children,7.6
Morocco,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,54.0
Eritrea,M,Education,Primary,... if she burns the food,14.9
Burundi,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,69.1
Moldova,F,Age,25-34,... if she burns the food,4.2
Afghanistan,F,Education,Higher,... if she refuses to have sex with him,10.8
Eritrea,F,Education,No education,... if she argues with him,55.1
Burkina Faso,F,Education,Primary,... if she refuses to have sex with him,15.2
Honduras,M,Education,Primary,... if she burns the food,4.3
Guinea,M,Residence,Rural,... if she goes out without telling him,43.6
Cameroon,M,Age,15-24,... if she neglects the children,32.0
Mali,M,Employment,Employed for kind,... if she argues with him,44.9
Tajikistan,F,Age,15-24,... if she goes out without telling him,43.4
Cambodia,F,Marital status,Married or living together,... for at least one specific reason,53.3
Dominican Republic,M,Education,Primary,... if she goes out without telling him,3.9
Uganda,M,Education,Primary,... if she neglects the children,33.4
Eritrea,M,Education,Higher,... if she argues with him,14.9
Gambia,M,Education,Primary,... if she goes out without telling him,27.9
Tanzania,F,Age,25-34,... if she argues with him,40.6
Tanzania,M,Age,25-34,... if she argues with him,19.2
Niger,F,Employment,Unemployed,... if she neglects the children,41.8
Chad,M,Education,Secondary,... if she argues with him,20.8
Peru,M,Residence,Rural,... if she neglects the children,14.9
Sierra Leone,F,Marital status,Married or living together,... if she refuses to have sex with him,30.5
Turkey,M,Residence,Urban,... if she burns the food,14.9
Guinea,F,Education,Higher,... if she refuses to have sex with him,25.4
Niger,F,Age,15-24,... if she goes out without telling him,41.7
Ethiopia,F,Education,Primary,... if she refuses to have sex with him,32.9
Armenia,M,Education,Higher,... if she argues with him,9.9
Congo Democratic Republic,M,Residence,Rural,... if she burns the food,17.2
Zambia,M,Education,Higher,... if she refuses to have sex with him,1.7
Nicaragua,F,Employment,Employed for kind,... if she refuses to have sex with him,3.6
Turkmenistan,F,Employment,Unemployed,... if she refuses to have sex with him,23.1
Bangladesh,M,Employment,Employed for cash,... if she goes out without telling him,14.9
Jordan,M,Employment,Unemployed,... if she goes out without telling him,20.5
Colombia,F,Education,Secondary,... if she refuses to have sex with him,1.1
Lesotho,F,Age,15-24,... if she goes out without telling him,13.3
Burundi,F,Marital status,"Widowed, divorced, separated",... if she argues with him,36.7
Dominican Republic,M,Age,35-49,... for at least one specific reason,2.2
Burkina Faso,M,Education,Higher,... if she goes out without telling him,2.8
Angola,F,Residence,Urban,... if she neglects the children,12.6
Azerbaijan,M,Age,35-49,... if she burns the food,6.0
Albania,F,Age,15-24,... if she refuses to have sex with him,0.6
Yemen,M,Age,35-49,... if she burns the food,14.9
Ethiopia,F,Age,25-34,... if she argues with him,43.6
Lesotho,F,Education,Primary,... for at least one specific reason,44.7
Morocco,F,Age,25-34,... if she argues with him,50.0
Armenia,F,Marital status,"Widowed, divorced, separated",... if she argues with him,3.2
Guinea,F,Marital status,Never married,... if she neglects the children,43.0
Niger,M,Education,Higher,... if she refuses to have sex with him,0.0
Chad,M,Education,Primary,... if she burns the food,31.9
Chad,M,Age,35-49,... if she burns the food,24.0
Zimbabwe,F,Marital status,Never married,... if she burns the food,10.6
Egypt,F,Employment,Unemployed,... if she refuses to have sex with him,20.5
Senegal,F,Age,35-49,... for at least one specific reason,45.3
Nicaragua,F,Education,No education,... if she neglects the children,16.7
Pakistan,F,Employment,Employed for cash,... if she goes out without telling him,33.3
South Africa,F,Education,No education,... if she neglects the children,2.8
Angola,F,Employment,Employed for kind,... if she refuses to have sex with him,14.7
Guatemala,F,Marital status,Never married,... if she goes out without telling him,3.4
Indonesia,M,Residence,Rural,... if she refuses to have sex with him,4.3
Albania,M,Residence,Urban,... if she argues with him,4.7
Peru,F,Residence,Urban,... if she neglects the children,1.7
Angola,F,Residence,Urban,... for at least one specific reason,19.8
Senegal,F,Education,Secondary,... if she argues with him,22.9
Maldives,F,Residence,Rural,... if she neglects the children,14.8
Albania,F,Education,Primary,... if she neglects the children,8.6
Comoros,F,Residence,Rural,... if she neglects the children,32.7
India,F,Age,15-24,... for at least one specific reason,41.6
Albania,F,Education,No education,... if she argues with him,11.7
Peru,F,Education,Higher,... if she neglects the children,0.9
Ethiopia,F,Marital status,Married or living together,... for at least one specific reason,66.6
Namibia,M,Residence,Urban,... if she goes out without telling him,7.4
Morocco,F,Residence,Rural,... if she goes out without telling him,72.4
Philippines,M,Education,Higher,... for at least one specific reason,14.9
Uganda,M,Marital status,Married or living together,... for at least one specific reason,35.1
Bangladesh,M,Age,25-34,... if she refuses to have sex with him,14.9
Moldova,M,Education,Primary,... for at least one specific reason,14.9
Niger,M,Employment,Unemployed,... if she burns the food,8.2
Nepal,M,Age,15-24,... if she goes out without telling him,10.9
Burundi,M,Employment,Employed for cash,... for at least one specific reason,33.1
Timor-Leste,F,Age,15-24,... if she goes out without telling him,61.5
Azerbaijan,M,Education,Primary,... for at least one specific reason,14.9
Timor-Leste,F,Residence,Rural,... if she argues with him,61.9
Tajikistan,F,Marital status,Never married,... if she argues with him,30.8
Indonesia,F,Marital status,Never married,... if she refuses to have sex with him,9.0
Benin,M,Employment,Employed for cash,... if she burns the food,6.6
Eswatini,M,Age,15-24,... if she goes out without telling him,20.3
Tajikistan,F,Employment,Employed for kind,... if she neglects the children,51.5
Congo Democratic Republic,M,Marital status,"Widowed, divorced, separated",... if she burns the food,14.8
Namibia,M,Education,Secondary,... if she argues with him,9.2
Peru,M,Education,Secondary,... if she argues with him,14.9
Niger,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,44.1
Dominican Republic,F,Employment,Unemployed,... if she burns the food,0.8
Malawi,F,Age,35-49,... if she burns the food,5.0
Turkey,M,Age,35-49,... if she goes out without telling him,14.9
Cote d'Ivoire,F,Residence,Urban,... if she burns the food,12.8
Indonesia,F,Age,15-24,... if she refuses to have sex with him,10.3
Nigeria,F,Education,Primary,... if she argues with him,24.8
Kenya,F,Education,Secondary,... if she neglects the children,28.3
Congo Democratic Republic,F,Employment,Unemployed,... for at least one specific reason,72.0
Turkmenistan,F,Education,Higher,... for at least one specific reason,30.3
Turkmenistan,M,Age,25-34,... if she refuses to have sex with him,14.9
Moldova,F,Education,Secondary,... if she refuses to have sex with him,3.5
Egypt,F,Residence,Rural,... if she burns the food,9.0
Uganda,M,Marital status,Never married,... if she neglects the children,34.5
Myanmar,F,Marital status,Married or living together,... if she burns the food,13.2
South Africa,M,Employment,Employed for kind,... if she argues with him,14.9
Tanzania,M,Residence,Rural,... for at least one specific reason,40.9
Gabon,F,Education,Higher,... if she goes out without telling him,3.8
Guyana,F,Employment,Unemployed,... if she burns the food,4.3
Senegal,F,Employment,Employed for kind,... if she refuses to have sex with him,44.6
Turkmenistan,F,Education,No education,... if she neglects the children,47.7
Moldova,M,Residence,Urban,... if she argues with him,5.1
Bangladesh,M,Education,Primary,... if she neglects the children,14.9
Chad,F,Residence,Urban,... if she refuses to have sex with him,34.2
Malawi,F,Education,Higher,... if she neglects the children,1.6
Morocco,M,Age,25-34,... if she burns the food,14.9
Tanzania,M,Employment,Unemployed,... if she goes out without telling him,20.8
Morocco,M,Marital status,Married or living together,... for at least one specific reason,14.9
Gabon,M,Age,25-34,... for at least one specific reason,41.5
Bangladesh,F,Employment,Unemployed,... if she burns the food,4.1
Nepal,F,Age,15-24,... if she goes out without telling him,10.1
Nigeria,F,Age,15-24,... for at least one specific reason,35.3
Angola,F,Marital status,Married or living together,... if she burns the food,10.8
Turkmenistan,F,Employment,Employed for kind,... if she burns the food,48.4
Egypt,M,Residence,Urban,... if she argues with him,14.9
Bolivia,M,Marital status,Married or living together,... for at least one specific reason,14.9
Kyrgyz Republic,F,Age,25-34,... if she burns the food,7.6
Chad,M,Education,Primary,... if she argues with him,22.8
Turkmenistan,F,Education,No education,... for at least one specific reason,61.3
India,M,Education,Higher,... if she neglects the children,16.0
Zimbabwe,F,Marital status,"Widowed, divorced, separated",... if she burns the food,5.8
Peru,F,Education,Secondary,... for at least one specific reason,3.1
India,F,Education,Higher,... if she refuses to have sex with him,8.1
Ukraine,F,Marital status,Never married,... if she argues with him,0.4
Burundi,F,Residence,Rural,... if she neglects the children,53.6
Rwanda,F,Education,Secondary,... for at least one specific reason,35.0
Ethiopia,F,Residence,Urban,... if she goes out without telling him,23.6
Yemen,F,Residence,Rural,... for at least one specific reason,54.5
Cambodia,M,Residence,Rural,... if she burns the food,2.0
Mali,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,44.1
Guinea,M,Education,Secondary,... if she refuses to have sex with him,17.0
Senegal,F,Employment,Employed for kind,... if she goes out without telling him,44.0
Moldova,F,Education,Secondary,... if she argues with him,6.0
Cote d'Ivoire,M,Residence,Rural,... if she argues with him,28.1
Cambodia,M,Age,25-34,... if she refuses to have sex with him,2.3
Uganda,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,34.3
Burkina Faso,M,Education,No education,... if she goes out without telling him,20.6
South Africa,F,Residence,Rural,... if she neglects the children,5.5
Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,1.3
Benin,M,Marital status,Never married,... if she goes out without telling him,10.3
Guyana,M,Education,Higher,... if she goes out without telling him,1.2
Peru,M,Marital status,Never married,... if she argues with him,14.9
Niger,F,Education,Higher,... if she argues with him,7.4
Indonesia,F,Employment,Employed for kind,... if she burns the food,4.0
Timor-Leste,F,Age,35-49,... for at least one specific reason,73.8
Nicaragua,M,Age,35-49,... if she neglects the children,14.9
Ukraine,F,Age,35-49,... if she neglects the children,3.7
Togo,F,Employment,Unemployed,... if she burns the food,9.1
Mozambique,M,Employment,Unemployed,... if she refuses to have sex with him,7.5
Guyana,F,Education,No education,... if she argues with him,7.6
South Africa,F,Age,25-34,... if she goes out without telling him,2.1
Ghana,F,Residence,Rural,... if she neglects the children,28.1
Togo,F,Education,Higher,... if she neglects the children,4.5
Ethiopia,M,Residence,Rural,... if she argues with him,18.4
Niger,M,Education,No education,... for at least one specific reason,24.8
Benin,M,Employment,Unemployed,... for at least one specific reason,10.1
Myanmar,F,Age,15-24,... if she goes out without telling him,18.2
Cameroon,M,Employment,Unemployed,... if she refuses to have sex with him,6.1
South Africa,M,Employment,Unemployed,... if she neglects the children,7.9
Guatemala,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,3.3
Angola,M,Employment,Employed for cash,... if she neglects the children,11.3
Nicaragua,M,Marital status,Married or living together,... if she neglects the children,14.9
Mozambique,M,Education,Secondary,... if she burns the food,2.8
Azerbaijan,M,Age,15-24,... if she burns the food,9.4
Benin,M,Residence,Urban,... if she refuses to have sex with him,4.6
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,29.7
Armenia,M,Residence,Urban,... for at least one specific reason,15.1
Turkey,M,Marital status,Never married,... for at least one specific reason,14.9
Moldova,F,Marital status,"Widowed, divorced, separated",... if she argues with him,4.4
Mali,F,Age,35-49,... if she goes out without telling him,55.2
Tanzania,F,Education,Primary,... if she goes out without telling him,44.5
Dominican Republic,F,Marital status,Married or living together,... if she neglects the children,1.6
Dominican Republic,F,Education,Higher,... if she goes out without telling him,0.2
Kenya,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,34.6
Sao Tome and Principe,F,Education,Primary,... if she goes out without telling him,11.5
Turkmenistan,M,Marital status,Married or living together,... if she refuses to have sex with him,14.9
Tanzania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,41.3
Namibia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,5.7
Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,27.4
Burundi,M,Residence,Rural,... if she goes out without telling him,18.1
Colombia,F,Education,No education,... for at least one specific reason,12.7
Zambia,F,Marital status,Never married,... for at least one specific reason,42.5
Namibia,F,Age,25-34,... for at least one specific reason,29.1
Burundi,F,Age,35-49,... if she goes out without telling him,39.4
Albania,F,Age,35-49,... for at least one specific reason,8.2
Indonesia,F,Residence,Urban,... if she argues with him,3.7
Yemen,F,Employment,Employed for cash,... if she neglects the children,22.0
Bolivia,F,Residence,Rural,... if she goes out without telling him,9.1
Albania,M,Employment,Unemployed,... if she refuses to have sex with him,3.5
Tajikistan,M,Marital status,Never married,... for at least one specific reason,14.9
Cote d'Ivoire,F,Education,No education,... if she argues with him,38.9
Azerbaijan,F,Employment,Employed for kind,... if she goes out without telling him,59.2
Albania,F,Education,Higher,... if she goes out without telling him,0.3
Kenya,M,Education,Primary,... if she argues with him,24.0
Bangladesh,M,Marital status,Married or living together,... if she neglects the children,14.9
Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.6
Philippines,M,Age,15-24,... for at least one specific reason,14.9
Jordan,F,Marital status,Never married,... if she goes out without telling him,14.9
Madagascar,M,Education,Secondary,... if she burns the food,5.4
Moldova,M,Marital status,Never married,... if she refuses to have sex with him,3.6
Colombia,F,Employment,Unemployed,... if she goes out without telling him,1.4
Myanmar,M,Residence,Rural,... if she refuses to have sex with him,9.5
Haiti,M,Employment,Unemployed,... if she neglects the children,8.8
Sierra Leone,F,Education,Primary,... if she argues with him,43.0
Namibia,M,Marital status,Married or living together,... for at least one specific reason,14.5
Azerbaijan,M,Employment,Unemployed,... if she neglects the children,33.7
Bolivia,F,Employment,Unemployed,... if she burns the food,2.6
Burkina Faso,M,Residence,Rural,... if she refuses to have sex with him,13.2
Colombia,F,Employment,Employed for cash,... if she neglects the children,2.1
Pakistan,F,Education,Higher,... if she argues with him,8.5
Benin,M,Employment,Employed for cash,... for at least one specific reason,15.2
Burundi,M,Employment,Unemployed,... if she argues with him,10.8
Uganda,F,Education,Primary,... if she refuses to have sex with him,22.1
Kenya,F,Residence,Rural,... if she neglects the children,39.5
Togo,F,Employment,Unemployed,... if she argues with him,16.6
Cameroon,M,Education,Secondary,... if she burns the food,8.3
Morocco,M,Residence,Rural,... for at least one specific reason,14.9
Gabon,M,Residence,Urban,... if she goes out without telling him,13.7
Morocco,F,Marital status,Married or living together,... if she goes out without telling him,55.0
Egypt,M,Marital status,Never married,... if she goes out without telling him,14.9
Comoros,F,Employment,Employed for cash,... if she burns the food,11.1
Morocco,M,Marital status,Never married,... if she neglects the children,14.9
Liberia,F,Age,25-34,... if she refuses to have sex with him,11.0
Cote d'Ivoire,M,Marital status,Married or living together,... if she burns the food,9.7
Morocco,F,Age,35-49,... if she burns the food,24.9
Tanzania,M,Marital status,Married or living together,... for at least one specific reason,33.5
Philippines,F,Residence,Rural,... if she goes out without telling him,4.4
Mozambique,M,Age,25-34,... for at least one specific reason,15.6
Moldova,M,Age,35-49,... if she argues with him,8.3
Chad,F,Residence,Urban,... if she burns the food,45.9
Armenia,F,Employment,Employed for cash,... if she refuses to have sex with him,1.1
Yemen,M,Marital status,"Widowed, divorced, separated",... if she burns the food,14.9
Guyana,M,Age,35-49,... if she neglects the children,12.7
Gambia,F,Education,No education,... if she refuses to have sex with him,54.7
Namibia,M,Education,Secondary,... if she goes out without telling him,8.4
Nepal,M,Marital status,Married or living together,... for at least one specific reason,20.4
Mozambique,M,Employment,Employed for cash,... if she goes out without telling him,6.9
Turkey,F,Education,No education,... if she goes out without telling him,16.7
Zambia,M,Age,15-24,... if she refuses to have sex with him,12.0
Cameroon,M,Education,No education,... if she burns the food,9.5
Ukraine,M,Marital status,Never married,... if she goes out without telling him,4.3
Congo Democratic Republic,M,Marital status,Married or living together,... if she refuses to have sex with him,21.4
Timor-Leste,M,Residence,Urban,... if she burns the food,18.1
Gambia,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,17.2
Togo,M,Marital status,Never married,... if she refuses to have sex with him,5.8
Malawi,M,Employment,Employed for cash,... for at least one specific reason,10.6
Cote d'Ivoire,F,Age,35-49,... if she argues with him,33.5
Guyana,M,Residence,Urban,... if she refuses to have sex with him,2.3
Dominican Republic,F,Education,Higher,... for at least one specific reason,0.5
Indonesia,F,Education,Secondary,... if she goes out without telling him,24.7
Senegal,M,Marital status,Married or living together,... if she goes out without telling him,11.2
Uganda,M,Age,15-24,... if she refuses to have sex with him,15.1
Bolivia,F,Education,Higher,... if she goes out without telling him,1.9
Niger,F,Marital status,Married or living together,... if she burns the food,36.0
Guinea,M,Residence,Rural,... if she refuses to have sex with him,29.2
Uganda,M,Education,Primary,... if she argues with him,28.7
Congo Democratic Republic,M,Education,No education,... if she burns the food,15.6
India,F,Education,Secondary,... if she goes out without telling him,24.6
Dominican Republic,F,Marital status,Never married,... if she refuses to have sex with him,0.5
Congo Democratic Republic,M,Residence,Urban,... if she argues with him,38.9
Uganda,M,Education,Higher,... if she neglects the children,13.5
Kyrgyz Republic,M,Marital status,"Widowed, divorced, separated",... if she argues with him,37.7
Chad,M,Age,25-34,... if she argues with him,20.8
India,F,Residence,Urban,... if she refuses to have sex with him,11.0
Guyana,F,Age,25-34,... for at least one specific reason,15.4
Namibia,M,Age,35-49,... for at least one specific reason,18.0
Zimbabwe,M,Age,15-24,... if she refuses to have sex with him,8.0
Niger,F,Education,Primary,... if she refuses to have sex with him,52.5
Ghana,F,Education,Secondary,... if she burns the food,4.7
Myanmar,M,Education,Secondary,... if she goes out without telling him,17.2
India,F,Education,Secondary,... if she argues with him,27.2
Cameroon,M,Education,Primary,... if she neglects the children,32.2
Haiti,F,Employment,Employed for cash,... if she neglects the children,9.2
Uganda,F,Education,No education,... if she goes out without telling him,34.8
Gambia,M,Employment,Employed for cash,... if she burns the food,4.3
Comoros,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,34.1
Mali,F,Education,Primary,... if she goes out without telling him,55.2
Nicaragua,M,Marital status,Married or living together,... if she burns the food,14.9
Turkmenistan,M,Education,Secondary,... if she goes out without telling him,14.9
Kenya,F,Residence,Rural,... if she refuses to have sex with him,19.9
Angola,M,Marital status,"Widowed, divorced, separated",... if she argues with him,17.4
Ukraine,M,Education,Secondary,... if she refuses to have sex with him,2.2
Guyana,F,Age,15-24,... if she goes out without telling him,5.0
Moldova,F,Marital status,Married or living together,... if she refuses to have sex with him,3.4
Maldives,F,Age,25-34,... if she goes out without telling him,4.1
Benin,F,Age,35-49,... if she burns the food,15.5
Ghana,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,3.6
Kenya,M,Residence,Urban,... if she argues with him,19.8
Kenya,M,Age,15-24,... if she argues with him,20.7
Eritrea,M,Residence,Urban,... for at least one specific reason,14.9
Benin,M,Employment,Employed for kind,... if she burns the food,11.0
Bangladesh,M,Education,Primary,... if she refuses to have sex with him,14.9
Turkey,F,Age,35-49,... if she neglects the children,11.5
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.3
Kenya,M,Age,15-24,... if she refuses to have sex with him,10.6
Guatemala,M,Education,Secondary,... if she burns the food,1.0
Bangladesh,F,Age,25-34,... if she argues with him,19.3
Ghana,M,Education,Primary,... if she refuses to have sex with him,6.7
Turkey,F,Education,Primary,... if she goes out without telling him,6.1
Ukraine,F,Age,25-34,... if she goes out without telling him,0.3
Burundi,M,Age,25-34,... for at least one specific reason,31.0
Nicaragua,F,Age,25-34,... if she neglects the children,11.4
Liberia,F,Employment,Employed for kind,... if she goes out without telling him,26.4
Burundi,M,Age,15-24,... if she refuses to have sex with him,18.7
India,M,Employment,Employed for kind,... if she burns the food,14.1
Armenia,M,Age,15-24,... if she burns the food,0.7
Guyana,M,Age,25-34,... if she burns the food,3.1
Turkmenistan,F,Residence,Urban,... if she refuses to have sex with him,17.2
Sao Tome and Principe,F,Residence,Rural,... if she refuses to have sex with him,6.5
Benin,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,31.3
Malawi,M,Education,Higher,... if she refuses to have sex with him,0.6
Namibia,M,Employment,Unemployed,... if she burns the food,5.1
Philippines,F,Residence,Rural,... if she refuses to have sex with him,1.6
Burkina Faso,F,Marital status,Never married,... if she goes out without telling him,20.4
Jordan,M,Residence,Rural,... if she argues with him,27.3
